"年別","月份","日本","韓國","北韓","香港","中國大陸","澳門","蒙古","越南","泰國","馬來西亞","新加坡","菲律賓","汶萊","印尼","柬埔寨","寮國","帝汶","緬甸","索羅門群島","吐瓦魯","印度","巴基斯坦","斯里蘭卡","孟加拉","尼泊爾","不丹","馬爾地夫","塞席爾","吉里巴斯","伊朗","伊拉克","巴林","南葉門","沙烏地阿拉伯","科威特","卡達","阿曼","以色列","約旦","敘利亞","黎巴嫩","阿拉伯聯合大公國","葉門","土耳其","賽普勒斯","阿富汗(觀光)","埃及","摩洛哥","阿爾及利亞","突尼西亞","利比亞","蘇丹","索馬利亞","南非","象牙海岸","奈及利亞","賴比瑞亞","幾內亞","安哥拉","剛果共和國","中非共和國","波札那","喀麥隆","查德","衣索匹亞","加彭","甘比亞","迦納","肯亞","賴索托","馬拉加西","模里西斯","馬利","馬拉威","莫三鼻克","尼日","盧安達","塞內加爾","獅子山","坦桑尼亞","烏干達","尚比亞","多哥","辛巴威","史瓦濟蘭","布吉納法索","貝南","赤道幾內亞","維德角島","吉布地","西撒哈拉","幾內亞比索","葛摩","留尼旺","聖多美及普林西比","美國","加拿大","百慕達","墨西哥","巴拿馬","巴貝多","巴哈馬","古巴","哥斯達黎加","多明尼加","瓜地馬拉","宏都拉斯","海地","牙買加","尼加拉瓜","薩爾瓦多","千里達及托貝哥","聖文森","貝里斯","格瑞那達","聖露西亞","聖克里斯多福","阿根廷","巴西","智利","委內瑞拉","玻利維亞","哥倫比亞","厄瓜多爾","巴拉圭","秘魯","烏拉圭","蘇利南","蓋亞納","澳洲","紐西蘭","裴濟","諾魯","帛琉","東加","巴布亞新幾內亞","萬那杜","馬紹爾","大溪地","密克羅尼西亞","比利時","法國","德國","義大利","荷蘭","英國","西班牙","瑞典","瑞士","挪威","丹麥","愛爾蘭","冰島","葡萄牙","芬蘭","奧地利","南斯拉夫","希臘","馬爾他","盧森堡","摩納哥","安道爾","列支敦斯登","白俄羅斯","烏克蘭","教廷","克羅埃西亞","波士尼亞","愛沙尼亞","立陶宛","拉脫維亞","馬其頓","斯洛凡尼亞","斯洛伐克","俄羅斯","東德","波蘭","捷克","匈牙利","阿爾巴尼亞","羅馬尼亞","保加利亞","摩爾多瓦","聖馬利諾"
"98","10","87481","10817","0","50680","78175","2723","97","5485","9653","15151","15389","7524","75","7890","112","14","5","242","12","1","1635","124","41","77","56","28","2","0","6","134","19","7","0","65","11","1","5","484","79","27","31","64","8","210","9","3","97","8","19","6","17","5","0","307","4","66","1","0","1","2","0","0","7","2","11","0","11","8","18","1","4","9","4","1","0","2","0","1","0","11","1","2","0","7","6","51","4","0","0","0","0","1","0","0","5","33180","5413","0","282","23","0","6","0","33","34","32","20","9","5","20","26","2","3","12","0","4","2","96","529","144","47","15","73","22","33","63","8","4","2","5302","656","8","21","6","0","8","1","5","0","0","518","2302","4211","1339","1137","4160","678","587","650","205","325","214","6","545","246","511","2","112","6","26","1","0","3","26","118","1","31","5","7","21","25","4","33","99","468","0","239","264","162","1","57","29","1","2"
"98","11","84765","12617","0","46561","113807","2197","134","5022","6943","22499","24156","6947","77","8502","48","5","4","181","10","1","1753","109","50","63","83","23","1","0","14","97","25","6","1","69","9","7","25","507","57","18","10","56","7","178","4","8","93","13","8","8","10","8","0","281","2","76","0","0","0","2","0","0","2","0","0","0","2","8","23","0","1","19","3","3","1","0","0","2","0","4","6","3","1","2","4","10","2","0","0","0","0","0","0","0","6","33021","5534","0","174","26","30","1","1","30","14","27","9","5","13","14","22","1","1","5","0","2","2","72","343","57","20","6","39","9","18","17","7","0","1","4829","672","13","23","13","1","2","0","3","1","2","498","2274","4039","1047","1126","4266","449","638","662","148","283","189","7","429","227","450","0","91","11","73","1","1","2","26","101","3","15","1","18","43","23","0","25","73","410","0","166","113","104","1","39","23","4","0"
"98","12","90100","16128","0","68506","92290","4061","83","5112","8455","29805","35137","6746","182","10586","67","7","13","272","1","2","1460","90","59","55","82","30","3","0","8","92","22","2","2","30","7","4","4","361","35","32","14","45","6","226","8","20","64","9","11","7","19","5","0","372","0","60","1","0","2","4","0","0","2","0","4","0","10","4","17","0","1","22","0","1","1","0","0","2","0","3","1","0","0","4","20","15","0","1","0","0","0","0","0","0","6","38271","6234","0","120","28","2","2","1","36","17","29","15","2","3","8","9","2","10","5","0","1","1","82","271","37","42","6","35","13","31","24","4","1","0","7863","951","15","51","7","1","3","0","10","1","0","299","1970","2857","802","959","3335","332","495","481","191","209","172","3","946","165","419","1","94","3","28","1","0","3","22","107","1","21","1","15","14","12","1","33","48","340","0","165","162","63","1","23","28","7","0"
"99","1","86214","18078","11","35781","86891","1606","118","4300","5778","12194","12299","6368","79","8926","70","4","6","237","7","0","1640","93","26","70","74","30","5","0","6","94","24","3","0","65","16","5","2","440","48","16","24","58","7","225","4","9","65","10","5","5","7","3","0","304","3","66","1","1","2","1","0","0","1","1","2","0","5","6","18","0","4","6","0","1","0","0","0","1","1","8","0","2","0","4","7","18","1","0","0","0","0","0","0","1","2","28605","4733","0","101","102","4","2","0","31","21","18","14","3","3","14","8","2","4","3","0","3","3","82","347","88","20","4","51","24","37","29","3","1","2","6078","748","2","30","11","1","13","0","12","2","0","325","1865","2996","778","969","2901","368","564","402","178","228","117","6","267","199","411","3","100","9","12","4","2","0","41","59","1","58","3","6","12","10","1","23","67","355","0","159","178","80","4","32","21","1","0"
"99","2","73889","18063","1","56616","107628","6410","89","4939","5712","20175","11587","5554","342","7948","62","4","4","316","2","5","1476","57","32","38","55","20","2","0","7","48","5","0","0","53","15","5","5","297","48","15","6","36","1","119","3","11","45","9","4","3","4","4","0","394","0","36","0","1","2","1","0","0","1","1","0","0","10","0","19","1","1","14","1","1","1","0","0","2","2","1","1","0","0","2","5","10","0","0","0","0","0","0","0","0","3","28210","5309","0","95","33","3","9","2","43","11","37","46","6","3","35","24","1","3","21","1","5","9","73","193","59","13","16","37","14","45","22","5","0","1","4357","640","6","19","6","3","6","0","7","3","1","252","1954","2639","661","972","3477","302","443","413","146","219","141","3","424","143","453","0","77","1","19","2","1","2","12","84","1","22","2","16","15","6","3","29","74","251","0","188","143","45","1","39","20","6","0"
"99","3","112231","18603","5","58489","149617","2535","119","7793","9165","26698","20636","8891","252","10479","93","10","12","418","4","1","2226","144","69","101","84","33","0","1","3","144","10","6","0","120","44","1","15","388","109","30","48","74","13","281","17","18","159","21","22","13","14","11","0","370","0","52","0","1","0","0","0","0","1","0","6","0","15","10","62","0","5","20","1","0","2","0","0","8","0","7","3","1","1","4","44","27","0","0","0","2","0","0","0","4","4","37696","6656","0","255","27","4","11","0","36","48","29","17","2","7","8","25","8","2","5","0","9","2","126","386","84","91","6","89","37","28","27","5","6","6","5891","839","9","36","6","2","3","2","9","10","2","489","2661","5653","1569","1484","5704","797","595","768","254","402","230","23","527","239","501","0","143","8","28","3","0","5","32","117","0","38","3","11","68","16","3","63","114","460","0","303","216","107","1","33","49","4","0"
"99","4","79593","15789","0","67922","180915","3044","129","6462","11134","24049","19162","8375","111","9196","113","8","4","371","6","21","2125","134","115","87","103","21","8","0","8","131","49","11","1","203","30","16","22","449","86","40","47","91","44","288","6","16","162","22","25","8","31","26","0","390","6","72","1","4","1","1","0","0","3","0","3","0","8","9","19","0","4","15","3","0","3","1","0","3","0","6","2","4","0","7","9","34","1","0","0","2","0","0","0","1","5","34355","5941","0","249","26","1","5","0","16","30","35","21","1","4","19","16","13","3","9","0","1","3","84","574","146","59","26","94","28","21","47","16","5","0","5535","761","13","26","5","2","7","18","6","6","1","322","2448","3774","1033","965","4736","454","520","596","143","220","147","10","534","200","556","0","124","10","7","4","3","3","35","161","4","24","2","6","13","12","3","26","106","531","0","214","221","103","3","62","56","8","0"
"99","5","85750","19286","7","65537","179394","2406","71","6382","6841","22062","22794","8465","101","10198","99","6","11","355","8","0","3143","106","34","67","139","33","1","3","4","147","18","5","0","132","30","6","11","489","49","31","33","74","12","276","2","8","75","15","14","13","4","2","2","239","0","60","3","0","0","1","0","0","1","0","6","1","19","4","14","0","3","12","2","3","1","0","0","2","0","0","0","1","3","1","26","31","0","0","0","0","0","0","0","4","2","34128","5282","0","273","20","1","7","3","18","19","23","35","0","5","13","12","4","4","6","0","4","4","88","412","87","27","11","57","22","24","53","5","2","2","4107","649","13","22","7","2","6","5","4","1","1","272","2176","3312","1104","1039","3419","497","554","486","122","244","160","17","492","247","371","0","137","8","24","3","0","3","26","169","1","38","2","11","13","13","1","19","71","529","0","205","169","68","6","52","34","3","0"
"99","6","82806","17023","11","72624","135603","5294","112","5873","7850","24385","21715","8002","97","12343","82","3","4","351","9","7","2109","99","56","121","67","25","4","0","17","161","35","10","2","97","12","5","19","371","62","37","22","76","17","226","8","6","77","9","10","14","9","7","0","269","3","51","2","3","1","0","0","1","3","0","4","0","13","8","10","1","3","11","2","1","1","0","1","0","0","1","0","0","0","0","11","60","0","0","0","0","0","0","0","2","0","38488","4376","0","129","36","0","0","0","23","73","50","87","4","3","25","31","3","3","7","2","8","1","103","262","77","34","16","48","50","24","30","4","3","0","4496","645","4","31","14","4","8","5","22","3","1","350","2233","3112","1035","881","3002","447","555","425","146","233","143","6","802","186","384","0","130","1","14","2","0","3","52","127","0","39","1","7","16","9","2","38","64","476","1","227","182","93","2","33","30","4","0"
"99","7","78442","17172","7","69032","129160","3631","85","6247","6556","13667","14031","6316","94","9830","127","9","4","297","14","10","1795","83","36","63","100","40","0","6","11","119","15","2","1","151","13","16","30","337","52","22","29","92","8","170","11","5","66","5","8","18","9","10","0","351","5","23","2","4","0","0","0","0","2","1","2","0","13","9","13","0","4","15","1","2","44","0","0","0","2","2","6","0","0","4","97","38","0","0","0","0","0","0","0","2","1","34977","5248","0","182","26","1","0","2","20","22","30","30","6","2","15","30","1","4","19","0","5","5","39","250","81","31","24","28","19","29","21","5","1","0","4727","633","26","12","17","0","5","4","11","3","0","404","2341","3159","953","1136","3061","472","459","584","109","207","141","16","507","202","512","1","78","5","15","1","0","2","42","92","2","45","1","21","52","19","6","29","159","425","1","206","169","119","1","44","26","5","0"
