"年別","月份","國家名稱","1-12歲","13-19歲","20-29歲","30-39歲","40-49歲","50-59歲","60歲以上","小計"
"Year","Month","Countries","1-12Years","13-19Years","20-29Years","30-39Years","40-49Years","50-59Years","60Years and Over","Subtotals"
"108","9","尼泊爾(Nepal)","0","0","0","0","0","0","0","0"
"108","9","不丹(Bhutan )","0","5","106","111","61","59","34","376"
"108","9","馬爾地夫(Maldives)","0","0","0","0","0","0","0","0"
"108","9","塞席爾(Seychelles)","0","0","0","0","0","0","0","0"
"108","9","吉里巴斯(Kiribati)","0","0","0","0","0","0","0","0"
"108","9","伊朗(Iran)","0","0","0","0","0","0","0","0"
"108","9","伊拉克(Iraq)","0","3","136","188","157","124","77","685"
"108","9","巴林(Bahrain)","0","0","0","0","0","0","0","0"
"108","9","南葉門(South Yemen)","0","0","0","0","0","0","0","0"
"108","9","沙烏地阿拉伯(Saudi Arabia)","0","0","0","0","0","0","0","0"
"108","9","科威特(Kuwait)","0","0","0","0","0","0","0","0"
"108","9","卡達(Qatar)","0","0","0","0","0","0","0","0"
"108","9","阿曼(Oman)","0","0","0","0","0","0","0","0"
"108","9","以色列(Israel)","0","58","1204","1032","655","691","643","4283"
"108","9","約旦(Jordan)","0","0","0","0","0","0","0","0"
"108","9","敘利亞(Syria)","0","0","0","0","0","0","0","0"
"108","9","黎巴嫩(Lebanon)","0","4","43","60","59","53","86","305"
"108","9","阿拉伯聯合大公國(United Arab Emirates)","112","179","2152","2550","1936","2629","3130","12688"
"108","9","葉門(Yemen)","0","0","0","0","0","0","0","0"
"108","9","土耳其(TURKEY)","31","43","763","1472","1457","2355","2859","8980"
"108","9","賽普勒斯(Cyprus)","0","0","0","0","0","0","0","0"
"108","9","阿富汗(觀光)(Afghanistan)","0","0","0","0","0","0","0","0"
"108","9","埃及(Egypt)","0","0","0","0","0","0","0","0"
"108","9","摩洛哥(Morocco)","0","0","0","0","0","0","0","0"
"108","9","阿爾及利亞(Algeria)","0","0","0","0","0","0","0","0"
"108","9","突尼西亞(Tunisia)","0","0","0","0","0","0","0","0"
"108","9","利比亞(Libya
)","0","0","0","0","0","0","0","0"
"108","9","蘇丹(Sudan)","0","0","0","0","0","0","0","0"
"108","9","索馬利亞(Somalia)","0","0","0","0","0","0","0","0"
"108","9","南非(S. Africa)","0","0","0","0","0","0","0","0"
"108","9","象牙海岸(Cote D'ivoire)","0","0","0","0","0","0","0","0"
"108","9","奈及利亞(Nigeria)","0","0","0","0","0","0","0","0"
"108","9","賴比瑞亞(Liberia)","0","0","0","0","0","0","0","0"
"108","9","幾內亞(Guinea)","0","0","0","0","0","0","0","0"
"108","9","安哥拉(Angola)","0","0","0","0","0","0","0","0"
"108","9","剛果共和國(Congo)","0","0","0","0","0","0","0","0"
"108","9","中非共和國(Central African)","0","0","0","0","0","0","0","0"
"108","9","波札那(Botswana)","0","0","0","0","0","0","0","0"
"108","9","喀麥隆(Cameroon)","0","0","0","0","0","0","0","0"
"108","9","查德(Chad)","0","0","0","0","0","0","0","0"
"108","9","衣索匹亞(Ethiopia)","0","0","0","0","0","0","0","0"
"108","9","加彭(Gabon)","0","0","0","0","0","0","0","0"
"108","9","甘比亞(Gambia)","0","0","0","0","0","0","0","0"
"108","9","迦納(Ghana)","0","0","0","0","0","0","0","0"
"108","9","肯亞(Kenya)","0","0","0","0","0","0","0","0"
"108","9","賴索托(Lesotho)","0","0","0","0","0","0","0","0"
"108","9","馬拉加西(Madagascar)","0","0","0","0","0","0","0","0"
"108","9","模里西斯(Mauritius)","0","0","0","0","0","0","0","0"
"108","9","馬利(Mali)","0","0","0","0","0","0","0","0"
"108","9","馬拉威(Malawi)","0","0","0","0","0","0","0","0"
"108","9","莫三鼻克(Mozambique)","0","0","0","0","0","0","0","0"
"108","9","尼日(Niger)","0","0","0","0","0","0","0","0"
"108","9","盧安達(Rwanda)","0","0","0","0","0","0","0","0"
"108","9","塞內加爾(Senegal)","0","0","0","0","0","0","0","0"
"108","9","獅子山(Sierra Leone)","0","0","0","0","0","0","0","0"
"108","9","坦桑尼亞(Tanzania)","0","0","0","0","0","0","0","0"
"108","9","烏干達(Uganda)","0","0","0","0","0","0","0","0"
"108","9","尚比亞(Zambia)","0","0","0","0","0","0","0","0"
"108","9","多哥(Togolese Republic)","0","0","0","0","0","0","0","0"
"108","9","辛巴威(Zimbabwe)","0","0","0","0","0","0","0","0"
"108","9","史瓦濟蘭(Swaziland)","0","0","0","0","0","0","0","0"
"108","9","布吉納法索(Burkina Faso)","0","0","0","0","0","0","0","0"
"108","9","貝南(Benin)","0","0","0","0","0","0","0","0"
"108","9","赤道幾內亞(Equatorial Guinea)","0","0","0","0","0","0","0","0"
"108","9","維德角島(Cape Verde)","0","0","0","0","0","0","0","0"
"108","9","吉布地(Djibouti)","0","0","0","0","0","0","0","0"
"108","9","西撒哈拉(Saharaui)","0","0","0","0","0","0","0","0"
"108","9","幾內亞比索(Guinea Bissau)","0","0","0","0","0","0","0","0"
"108","9","葛摩(Comoros)","0","0","0","0","0","0","0","0"
"108","9","留尼旺(Reunion)","0","0","0","0","0","0","0","0"
"108","9","聖多美及普林西比(Sao Tome & Principe)","0","0","0","0","0","0","0","0"
"108","9","美國(United States of America)","1419","1191","7331","9015","8196","8933","12485","48570"
"108","9","加拿大(Canada)","462","512","1926","1884","1677","3075","4028","13564"
"108","9","百慕達(Bermuda)","0","0","0","0","0","0","0","0"
"108","9","墨西哥(Mexico)","0","0","0","0","0","0","0","0"
"108","9","巴拿馬(Panama)","0","0","0","0","0","0","0","0"
"108","9","巴貝多(Barbados)","0","0","0","0","0","0","0","0"
"108","9","巴哈馬(Bahamas)","0","0","0","0","0","0","0","0"
"108","9","古巴(Cuba)","0","0","0","0","0","0","0","0"
"108","9","哥斯達黎加(Costa Rica)","0","0","0","0","0","0","0","0"
"108","9","多明尼加(Dominican Rep.)","0","0","0","0","0","0","0","0"
"108","9","瓜地馬拉(Guatemala)","0","0","0","0","0","0","0","0"
"108","9","宏都拉斯(Honduras)","0","0","0","0","0","0","0","0"
"108","9","海地(Haiti)","0","0","0","0","0","0","0","0"
"108","9","牙買加(Jamaica)","0","0","0","0","0","0","0","0"
"108","9","尼加拉瓜(Nicaragua)","0","0","0","0","0","0","0","0"
"108","9","薩爾瓦多(El Salvador)","0","0","0","0","0","0","0","0"
"108","9","千里達及托貝哥(Trinidad)","0","0","0","0","0","0","0","0"
"108","9","聖文森(Saint Vincent)","0","0","0","0","0","0","0","0"
"108","9","貝里斯(Belize)","0","0","0","0","0","0","0","0"
"108","9","格瑞那達(Grenada)","0","0","0","0","0","0","0","0"
"108","9","聖露西亞(Saint Lucia)","0","0","0","0","0","0","0","0"
"108","9","聖克里斯多福(St. Christopher)","0","0","0","0","0","0","0","0"
"108","9","阿根廷(Argentina)","0","0","0","0","0","0","0","0"
"108","9","巴西(Brazil)","0","0","0","0","0","0","0","0"
"108","9","智利(Chile)","0","0","0","0","0","0","0","0"
"108","9","委內瑞拉(Venezuela)","0","0","0","0","0","0","0","0"
"108","9","玻利維亞(Bolivia)","0","0","0","0","0","0","0","0"
"108","9","哥倫比亞(Colombia)","0","0","0","0","0","0","0","0"
"108","9","厄瓜多爾(Ecuador)","0","0","0","0","0","0","0","0"
"108","9","巴拉圭(Paraguay)","0","0","0","0","0","0","0","0"
"108","9","秘魯(Peru)","0","0","0","0","0","0","0","0"
"108","9","烏拉圭(Uruguay)","0","0","0","0","0","0","0","0"
"108","9","蘇利南(Suriname)","0","0","0","0","0","0","0","0"
"108","9","蓋亞納(Guyana)","0","0","0","0","0","0","0","0"
"108","9","澳洲(Australia)","565","283","3079","2978","2198","2639","3026","14768"
"108","9","紐西蘭(New Zealand)","57","7","306","472","354","550","668","2414"
"108","9","裴濟(Fiji)","0","0","0","0","0","0","0","0"
"108","9","諾魯(Nauru)","0","0","0","0","0","0","0","0"
"108","9","帛琉(Palau)","48","27","472","372","171","104","81","1275"
"108","9","東加(Tonga)","0","0","0","0","0","0","0","0"
"108","9","巴布亞新幾內亞(Papua New Guinea)","0","0","0","0","0","0","0","0"
"108","9","萬那杜(Vanuatu)","0","0","0","0","0","0","0","0"
"108","9","馬紹爾(Marshall)","0","0","7","8","8","8","3","34"
"108","9","大溪地(Tahiti)","0","0","0","0","0","0","0","0"
"108","9","密克羅尼西亞(Micronesian)","0","0","1","1","3","4","6","15"
"108","9","比利時(Belgium)","0","0","0","0","0","0","0","0"
"108","9","法國(France)","97","98","1293","1809","1720","1603","1394","8014"
"108","9","德國(Germany)","80","104","1099","1517","1526","1660","1512","7498"
"108","9","義大利(Italy)","30","14","377","746","471","694","644","2976"
"108","9","荷蘭(Netherlands)","148","108","1163","1795","1455","1265","955","6889"
"108","9","英國(U.K.)","123","146","1119","951","663","779","581","4362"
"108","9","西班牙(Spain)","0","0","0","0","0","0","0","0"
"108","9","瑞典(Sweden)","0","0","0","0","0","0","0","0"
"108","9","瑞士(Switzerland)","0","0","0","0","0","0","0","0"
"108","9","挪威(Norway)","0","0","0","0","0","0","0","0"
"108","9","丹麥(Denmark)","0","0","0","0","0","0","0","0"
"108","9","愛爾蘭(Ireland)","0","0","0","0","0","0","0","0"
"108","9","冰島(Iceland)","0","0","0","0","0","0","0","0"
"108","9","葡萄牙(Portugal)","0","0","0","0","0","0","0","0"
"108","9","芬蘭(Finland)","0","0","0","0","0","0","0","0"
"108","9","奧地利(Austria)","86","64","849","1313","1328","2249","2443","8332"
"108","9","南斯拉夫(Yugoslavia)","0","0","0","0","0","0","0","0"
"108","9","希臘(Greece)","0","0","0","0","0","0","0","0"
"108","9","馬爾他(Malta)","0","0","0","0","0","0","0","0"
"108","9","盧森堡(Luxembourg)","0","0","0","0","0","0","0","0"
"108","9","摩納哥(Monaco)","0","0","0","0","0","0","0","0"
"108","9","安道爾(Andorra)","0","0","0","0","0","0","0","0"
"108","9","列支敦斯登(Liechtenstein)","0","0","0","0","0","0","0","0"
"108","9","白俄羅斯(Belarus)","0","0","0","0","0","0","0","0"
"108","9","烏克蘭(Ukraine )","0","0","0","0","0","0","0","0"
"108","9","教廷(Holy See)","0","0","0","0","0","0","0","0"
"108","9","克羅埃西亞(Croatia)","0","0","0","0","0","0","0","0"
"108","9","波士尼亞(Bosnia)","0","0","0","0","0","0","0","0"
"108","9","愛沙尼亞(Estonia)","0","0","0","0","0","0","0","0"
"108","9","立陶宛(Lithuania)","0","0","0","0","0","0","0","0"
"108","9","拉脫維亞(Latvia)","0","0","0","0","0","0","0","0"
"108","9","馬其頓(Macedonia)","0","0","0","0","0","0","0","0"
"108","9","斯洛凡尼亞(Slovenia)","0","0","0","0","0","0","0","0"
"108","9","斯洛伐克(Slovakia)","0","0","0","0","0","0","0","0"
"108","9","俄羅斯(Russian Federation)","3","4","50","129","173","378","766","1503"
"108","9","東德(German Democratic)","0","0","0","0","0","0","0","0"
"108","9","波蘭(Poland)","0","0","0","0","0","0","0","0"
"108","9","捷克(Czech)","0","0","0","0","0","0","0","0"
"108","9","匈牙利(Hungary)","0","0","0","0","0","0","0","0"
"108","9","阿爾巴尼亞(Albania)","0","0","0","0","0","0","0","0"
"108","9","羅馬尼亞(Romania)","0","0","0","0","0","0","0","0"
"108","9","保加利亞(Bulgaria)","0","0","0","0","0","0","0","0"
"108","9","摩爾多瓦(Moldova)","0","0","0","0","0","0","0","0"
"108","9","聖馬利諾(San Marino)","0","0","0","0","0","0","0","0"
"108","10","日本(Japan)","31798","5391","70255","106134","69484","65120","66392","414574"
"108","10","韓國(Korea)","5913","2908","25988","31059","23018","18078","14563","121527"
"108","10","北韓(Democratic People's Republic of Korea)","0","0","0","0","0","0","0","0"
"108","10","香港(Hong Kong)","4696","1453","14674","29241","32012","27930","23270","133276"
"108","10","中國大陸(Mainland China)","11709","4739","29699","56682","84734","96314","96750","380627"
"108","10","澳門(Macao)","3013","826","6665","10598","11222","10066","7983","50373"
"108","10","蒙古(Mongolia)","0","0","0","0","0","0","0","0"
"108","10","越南(Vietnam)","2926","857","8736","18977","18064","17214","15857","82631"
"108","10","泰國(Thailand)","2709","1021","12531","18733","13850","12242","9825","70911"
"108","10","馬來西亞(Malaysia)","1082","387","4216","5931","4962","4324","4029","24931"
"108","10","新加坡(Singapore)","1890","426","6086","8030","6182","5448","4772","32834"
"108","10","菲律賓(Philippines)","1073","362","8322","8744","5022","3493","2337","29353"
"108","10","汶萊(Brunei)","19","3","50","81","105","193","443","894"
"108","10","印尼(Indonesia)","655","256","2559","3723","2736","1989","1726","13644"
"108","10","柬埔寨(Cambodia)","115","60","933","1637","1875","1910","1514","8044"
"108","10","寮國(Laos)","0","0","0","0","0","0","0","0"
"108","10","帝汶(Timor)","0","0","0","0","0","0","0","0"
"108","10","緬甸(Myanmar)","66","12","207","410","498","588","637","2418"
"108","10","索羅門群島(Solomon Islands)","0","0","0","0","0","0","0","0"
"108","10","吐瓦魯(Tuvalu)","0","0","0","0","0","0","0","0"
"108","10","印度(India)","9","16","87","168","245","335","384","1244"
"108","10","巴基斯坦(Pakistan)","0","0","0","0","0","0","0","0"
"108","10","斯里蘭卡(Sri Lanka)","0","0","0","0","0","0","0","0"
"108","10","孟加拉(Bangladesh)","0","0","0","0","0","0","0","0"
"108","10","尼泊爾(Nepal)","0","0","0","0","0","0","0","0"
"108","10","不丹(Bhutan )","0","9","189","225","229","199","135","986"
"108","10","馬爾地夫(Maldives)","0","0","0","0","0","0","0","0"
"108","10","塞席爾(Seychelles)","0","0","0","0","0","0","0","0"
"108","10","吉里巴斯(Kiribati)","0","0","0","0","0","0","0","0"
