"年別","月份","國家名稱","業務","觀光","探親","會議","求學","展覽","醫療","其他","小計"
"Years","Months","Countries","Business","Leisure","Visit Relatives","Conference","Study","Exhibition","Medical Treatment","Others","Subtotals"
"107","4","尼加拉瓜(Nicaragua)","2","9","1","3","3","2","0","27","47"
"107","4","薩爾瓦多(El Salvador)","6","12","3","1","2","0","0","35","59"
"107","4","千里達及托貝哥(Trinidad)","1","2","0","0","0","0","0","5","8"
"107","4","聖文森(Saint Vincent)","0","0","0","1","0","0","0","3","4"
"107","4","貝里斯(Belize)","0","6","4","2","2","1","0","13","28"
"107","4","格瑞那達(Grenada)","1","0","0","0","0","0","0","2","3"
"107","4","聖露西亞(Saint Lucia)","0","0","0","1","0","0","0","6","7"
"107","4","聖克里斯多福(St. Christopher)","1","1","0","1","0","0","0","4","7"
"107","4","阿根廷(Argentina)","33","35","13","0","3","1","0","101","186"
"107","4","巴西(Brazil)","150","97","45","19","3","8","0","285","607"
"107","4","智利(Chile)","41","33","11","6","1","1","0","48","141"
"107","4","委內瑞拉(Venezuela)","6","5","2","2","0","0","0","33","48"
"107","4","玻利維亞(Bolivia)","7","7","4","1","0","0","0","4","23"
"107","4","哥倫比亞(Colombia)","27","40","11","4","2","1","0","35","120"
"107","4","厄瓜多爾(Ecuador)","13","15","4","1","0","2","0","24","59"
"107","4","巴拉圭(Paraguay)","1","5","11","1","2","0","0","20","40"
"107","4","秘魯(Peru)","18","13","7","0","0","4","0","49","91"
"107","4","烏拉圭(Uruguay)","0","1","1","0","0","0","0","6","8"
"107","4","蘇利南(Suriname)","0","0","0","0","0","0","0","1","1"
"107","4","蓋亞納(Guyana)","0","0","0","0","0","0","0","1","1"
"107","4","澳洲(Australia)","901","4220","1242","193","25","50","10","2178","8819"
"107","4","紐西蘭(New Zealand)","178","542","329","35","14","11","0","378","1487"
"107","4","裴濟(Fiji)","4","1","0","0","1","0","0","3","9"
"107","4","諾魯(Nauru)","3","19","1","0","1","0","0","5","29"
"107","4","帛琉(Palau)","2","4","2","2","0","0","41","11","62"
"107","4","東加(Tonga)","1","0","1","0","0","2","0","1","5"
"107","4","巴布亞新幾內亞(Papua New Guinea)","4","0","1","3","0","0","0","5","13"
"107","4","萬那杜(Vanuatu)","0","0","0","0","0","0","0","9","9"
"107","4","馬紹爾(Marshall)","3","1","2","0","0","0","4","10","20"
"107","4","大溪地(Tahiti)","1","19","0","0","0","0","0","1","21"
"107","4","密克羅尼西亞(Micronesian)","0","3","0","0","0","0","0","1","4"
"107","4","比利時(Belgium)","163","261","39","16","11","7","0","186","683"
"107","4","法國(France)","917","1900","623","76","315","41","0","1521","5393"
"107","4","德國(Germany)","1898","1911","263","95","125","26","2","1571","5891"
"107","4","義大利(Italy)","666","378","70","46","22","25","0","425","1632"
"107","4","荷蘭(Netherlands)","615","750","155","36","55","11","1","530","2153"
"107","4","英國(U.K.)","1127","2351","456","91","8","25","5","2479","6542"
"107","4","西班牙(Spain)","260","348","92","28","34","15","1","293","1071"
"107","4","瑞典(Sweden)","283","261","38","24","42","3","0","201","852"
"107","4","瑞士(Switzerland)","271","373","97","6","8","5","1","334","1095"
"107","4","挪威(Norway)","88","103","18","17","3","1","1","35","266"
"107","4","丹麥(Denmark)","204","141","23","13","5","5","0","105","496"
"107","4","愛爾蘭(Ireland)","75","95","21","5","0","1","0","105","302"
"107","4","冰島(Iceland)","3","9","1","1","0","0","0","9","23"
"107","4","葡萄牙(Portugal)","42","286","11","9","4","6","0","201","559"
"107","4","芬蘭(Finland)","123","125","24","5","30","6","0","65","378"
"107","4","奧地利(Austria)","231","356","57","21","11","2","0","191","869"
"107","4","南斯拉夫(Yugoslavia)","0","0","0","0","0","0","0","0","0"
"107","4","希臘(Greece)","41","38","3","7","1","3","0","55","148"
"107","4","馬爾他(Malta)","4","3","0","0","0","0","0","14","21"
"107","4","盧森堡(Luxembourg)","4","15","5","1","1","0","0","8","34"
"107","4","摩納哥(Monaco)","0","0","1","0","0","0","0","1","2"
"107","4","安道爾(Andorra)","0","1","1","0","0","0","0","1","3"
"107","4","列支敦斯登(Liechtenstein)","2","3","1","0","0","0","0","1","7"
"107","4","白俄羅斯(Belarus)","11","2","0","0","1","2","0","22","38"
"107","4","烏克蘭(Ukraine )","32","11","2","1","2","16","0","139","203"
"107","4","教廷(Holy See)","0","0","0","0","0","0","0","1","1"
"107","4","克羅埃西亞(Croatia)","17","17","0","3","0","0","0","67","104"
"107","4","波士尼亞(Bosnia)","3","1","0","0","0","0","0","2","6"
"107","4","愛沙尼亞(Estonia)","9","39","0","5","1","0","0","9","63"
"107","4","立陶宛(Lithuania)","10","41","3","2","3","0","0","16","75"
"107","4","拉脫維亞(Latvia)","10","49","2","2","0","0","0","30","93"
"107","4","馬其頓(Macedonia)","8","1","0","0","0","0","0","8","17"
"107","4","斯洛凡尼亞(Slovenia)","8","18","1","0","0","0","0","11","38"
"107","4","斯洛伐克(Slovakia)","25","97","3","10","3","9","0","57","204"
